#sentence	#label
TWC Games formed a strategic consultancy with Beefy Media, a video game production company, to foster relationships with publishers and create high-quality games.	0
Leonardo da Vinci worked on painting Mona Lisa for 15 years when he died in the year 1519, he still didn’t consider it to be finished!	1
Sinister Street (1914), 2 volumes, a bildungsroman	0
More than 90% of survivors of the 9/11 terror attacks delayed evacuation to save their work, shut down computers, change shoes, or visit the bathroom.	1
Then in the early 1900s, the milking machine was invented to milk cows so people don’t need to milk cows by hand anymore.	0
The Village of Stepanchikovo, by Fyodor Dostoyevsky	0
In 1971 he was awarded the Padma Shri.	0
But Dunbrody is a “failure.” It actually becomes a stepping-stone.	0
International Journal of Historical Archaeology 13(3): 255-281.	0
He pulled down Niall’s pants at a service station!	1
Now, active parliamentarians cannot sit on the committee, unless they have explicitly stated their intent to step down shortly.	0
Tom has commented though that he didn't like being called "bitter" by the media and that The Last DJ is full of hope, if you look for it.	0
Les Trois Frères, le retour (2014)	0
With the assistance of Arthur Biehl (Bill Erwin), an old bellhop who has been at the hotel since 1910, Richard discovers that the woman is Elise McKenna (Jane Seymour), a famous early 20th century stage actress.	0
GISD is an acronym that may refer to:	0
The Apostolic Camera, or in Latin (Reverenda) Camera Apostolica or Apostolica Camera, is the central board of finance in the Papal administrative system, which at one time was of great importance in the government of the States of the Church, and in the administration of justice, led by the Camerlengo of the Holy Roman Church.	0
Huston enjoyed directing the film, as it gave him a chance to indulge his love of animals.	0
Circumbinary disk, is where a disk orbits both the primary and the secondary of the binary system	0
Trapping pressure to cater to the demands of the pet trade have caused a drastic decline in this species' wild population.	0
In America, anchovies always rank last on the list of favorite toppings.	1
It is thought that the seaweed was accidentally released into coastal waters of the Mediterranean Sea just below Jacques Cousteau’s Oceanographic Museum of Monaco in 1984.	0
Reconnaissance Eagles are used to explore alien planets and regions of space; the sophisticated computer bank is used to obtain, store, and analyse data gathered from the planet being studied including atmospheric composition, valuable minerals resources and biological life.	0
A cup of grande coffee at Starbucks has 320 milligrams of caffeine, which is more than four times the amount of caffeine than found in a Red Bull.	1
Western beef tended to be canned, as the quality was inferior to the corn-fed beef of the Midwest.	0
in original German with English Translation	0
When Scott asked if they could continue on their previous course and speed, he was informed by the commander that it cost $25,000 to turn the ship, and to continue on course.	0
She married secondly Robert I, Duke of Burgundy.	0
It represents a grave breach of international law,' Margaret Thatcher thundered.	0
This, combined with his controversial lifestyle and behaviour, led Soviet authorities to repeatedly persecute and imprison him, and suppress his films.	0
A white Christmas isn’t as unlikely as we all think in the UK, 1 in 10 is the chance of a traditional English White Christmas.	1
When people eat a chocolate Easter bunny, 76% bite off the ears first, 5% eat the feet and 4% eat the tail.	1
Meyer’s vampires are not the typical vampire – their fangs are actually sharp teeth, the Cullens abstain from human blood and their skin sparkles in the sunlight.	1
By the time you’re a fully-grown adult, approximately a quarter of all your bones are in your feet.	1
Grand Tour General Classification results timeline	0
HFO storage tanks (type & location): deep tanks	0
He then went on to conduct a series of rituals upon arrival at the Khentii Mountains (狼居胥山, and the more northern 姑衍山) to symbolize the historic Han victory, then continued his pursuit as far as Lake Baikal (瀚海), effectively annihilating the Xiongnu clan.	0
In the opinion of author Chris Smith, the release was "a landmark in a summer of landmark albums".	0
Gabriel Jordani, aged 26, is an artist.	0
The first spacecraft to visit Mars was Mariner 4 in 1965.	1
Simply out, the aim of the game is to dominate the market as a single entity.	1
Changchub Gyaltsen used the noblemen belonging to his clientele, appointing them as dzongpon, district leaders.	0
Richard continued to present Gaytime TV for the BBC.	0
Medal for 35 years of military service for officers	0
As the place where politicians or other official leaders come to meet the citizens and ask for their opinions, support or votes ("election campaigning" in democracies, other kinds of requests in non-democracies).	0
The lotus flower is deeply imbibed with symbolism of Indian philosophy.	0
The place chosen by Captain (afterwards Major) Warden as the seat of his court was known as Bloemfontein, and it subsequently became the capital of the whole country.	0
The French took over the island in 1660 after signing a treaty with the original Carib people, and it was first named Saint Lucy of Syracuse.	1
Mawsynram in Meghalaya, India is the wettest place on Earth with an annual rainfall of more than 11 meters.	1
Thus, he became the professional criminal known as the Griffin.	0
Playbill, New York City Ballet, Tuesday, April 30, 2008	0
The major day for celebration among the followers is the birthday of “Gautam Buddha”.	1
There have been four seasons of the show to date and multiple specials, such as Christmas and Sports Relief.	1
Grapes explode when you put them in microwaves!	1
In 2007, he starred alongside Brian Hooks, Denyce Lawton, and Cherie Johnson in the horror film 7eventy 5ive.	0
Janet Maslin concluded that the film "isn't quite top-level Eastwood, but it's close."	0
By the time he was 18, Beethoven was the main supplier of income for his family.	1
Much the same way as in the Wizard of Oz, they have to travel to a far-seeming destination (i.e.	0
He has worked with countless legends of the film industry (Jack Nicholson, Marlon Brando, Milos Forman, Hal Ashby), meanwhile earning a reputation as a great actor.	0
File:Estadi RCD Espanyol - 2011-05-27 - JT Curses.jpg|Estadi Cornellà-El Prat.	0
Where the reticulated giraffe has very clearly defined dark patches with bright-whitish channels between them, Rothschild's giraffe more closely resembles the Masai giraffe.	0
Like other mammals or rodents, Baird's pocket gophers re-ingests fecal pellets, which benefits them during the winter and the rainier seasons of the year.	0
They do not have threaded tips, because no needle or other device needs to be screwed onto them.	0
The new tungsten cored M993 Armor-piercing rounds may also be fired in the M60 as well, though they did not enter the inventory until after the M60 was withdrawn from service in active-duty units.	0
Hillary Clinton won the TV quiz show College Bowl while attending Wellesley College.	1
The word “white” comes from the Indo-European root “kweit” meaning “to shine”.	1
Pinocchio is Italian for 'pine head'	1
The Headhunter's true motives are revealed in her final story, The Eight Truths/Worldwide Web.	0
"This way, the world is informed about a character a lot less known and important than Hurricane Gustav.	0
In a career of more than 30 years, he had been a critic of the tensions embedded in his field of study, advocating Islamic modernism, secularism, and humanism.	0
The first of five Embraer 190s ordered in 2010 was incorporated into the fleet in .	0
In Togo four teams have won the Double of the Togolese Championnat National and the Coupe du Togo (defunct).	0
Image:Grain Silos on Main Street Crawford.jpg|Grain silos along Main Street in Crawford, Texas.	0
The earliest bronze archeological finds in Indonesia date from 1–2 BC, including flat plates probably suspended and struck by a wooden or bone mallet.	1
He enjoys boxing to keep in shape.	1
Union Station (Winston-Salem, North Carolina), listed on the NRHP in Forsyth County, North Carolina	0
During fall, the only things that grow are mushrooms—a normal one and a poisonous one—in the Forest, and the hay grass, and in winter, nothing grows but the herbs in the forest cave, which grow all year round.	0
Playing with puppies and kittens has been proven to relieve stress and help students perform better on tests.	1
One of Newcastle's scorers that day, Michael Chopra, later joined Sunderland and played in 3 derbies against Newcastle.	0
Und wenn ich lieb&apos; nimm dich in acht...!	0
They eat snow as a source of fresh water.	1
It depends in particular of Présocratic authors, especially Parmenides and Heraclitus, of the Symbolists such that `Eluard, Rimbaud and Lautréamont, and of the authors of Negritude, particularly, Césaire.	0
The Filipino casualties was enormous according to Lachambre.	0
It was written by Twain and Mutt Lange.	0
In March 1933, Breiz Atao published a programme named "SAGA" (Strollad Ar Gelted Adsavet: Programme of Revived Celts), which was worked out by Mordrel.	0
Wide Sargasso Sea is usually thought of as a postmodern and postcolonial response to Jane Eyre.	0
Disney's Twelve Basic Principles of Animation is a set of principles of animation introduced by the Disney animators Ollie Johnston and Frank Thomas in their 1981 book .	0
Pierre Dukan, the diet's founder, sued Cohen for libel, but lost the case.	0
The last two have their battlements coated respectively with silver and gold.	0
She likes to spin wool in her spare time, and has a portable wool-spinning kit her husband got her so that she can spin wool in-between shooting scenes.	1
Team of researchers in Northwestern University indicated that this treatment method can potentially be used in other autoimmune diseases.	0
Her grandmother is an believer in naked sleeping!	1
The Flintstones was the most profitable network cartoon franchise for 30 years, that’s before The Simpsons came along.	1
The head of the insurgent forces, however, was defeated by the royalist forces, and the constitution was never enacted.	0
The road passed above an old river that was converted into a canal after the dismantlement of Montreal's fortifications.	0
Geocentric orbit: An orbit around the planet Earth, such as that of the Moon or of artificial satellites.	0
John Pike Grady, airman and journalist	0
During his service, Bulgaria became the seventh nation to join the Axis Powers.	0
Starting with Mammoth Cave National Park, CRF work has primarily focused on United States federal lands---particularly within United States National Parks.	0
He finished the season tied as the top try scorer with Lelia Masaga with 10 tries.	0
The earth's solid metal core is about 2,440km across and is growing by 0.5mm each year.	1
She somewhat unknowingly helps Irwin trick Duddy out of his summer earnings.	0
Shawn Mendes admitted that he secretly enjoys cooking.	1
Turnips are high in fiber, Vitamin C, Calcium and Potassium.	1
It took place at the Tokyo Dome in Tokyo, Japan on January 30, 2000.	0
This modernized Stratocaster configuration (commonly referred to as the superstrat) was particularly well suited to the heavy metal style of music that was very popular at the time.	0
In March 2009, Sir Paul Judge established the Jury Team, an umbrella organisation dedicated to increasing the number of independent candidates standing in the UK, in both domestic and European elections.	0
As soon as she broached, however, she lost her up-angle, and the thousands of pounds of water in her bilges rushed forward.	0
There are only 10 more Mondays until Christmas.	1
The Assembly of the French Clergy (Assemblée du Clergé de France) was in its origins a representative meeting of the Catholic clergy of France, held every five years, for the purpose of apportioning the financial burdens laid upon the clergy of the French Catholic Church by the kings of France.	0
A common method of station identification by radio is along the lines of the call sign, the city of license (and/or market/area it serves), the frequency, and the ownership (for example: "KQKS Lakewood/Denver: A Lincoln Financial Group Station.	0
Americans drive 29 miles a day on average.	1
Both travel agents compete until Morgan's employer Baker is forced to cancel its tour.	0
Hologon 16/8 – Came with an optical viewfinder and a center filter to reduce vignetting.	0
In Race For The Galaxy, uplift is a major theme.	0
In 2009, he won the national title in the steeplechase at the French Athletics Championships.	0
Although the conflict ended in a cease-fire, Somalis in the region still identify and maintain close ties with their brethren in Somalia.	0
The gateway stood at the corner of the modern Duke's Place and was always an obstacle to traffic.	0
Viña del Mar psychopaths: Jorge Sagredo and Carlos Topp committed ten murders and four rapes from 5 August 1980 to November 1, 1981 in the city of Viña del Mar; executed by firing squad on January 29, 1985; they were the last people executed in Chile	0
She is probably best known for her Chopin recordings, which won her the prestigious 'Grand Prix du Disque Frédéric Chopin' in Poland in 1995.	0
From about 1900 there was a great need to relieve the railway lines in Berlin from an increase in freight traffic.	0
Scyther hates the colour red, according to the animé episode Showdown in Dark City.	1
He is killed in a rocket explosion along with Fariba.	0
Peter "Peetah" Morgan - Lead vocals (1994–present)	0
Abraham Senior's house in Segovia, in the Jewish quarter or neighborhood of the Colonel, who harbored even a synagogue-oratory, was converted into a convent of Franciscans in 1902, and currently houses the Educational Centre of the Jewish quarter.	0
